year,station,PM2.5,PM10,NO2
2013,Aotizhongxin,80.28104575163398,111.18096405228758,62.900208694172115
2013,Changping,71.20411220043573,90.62724673202614,40.874771786492374
2013,Dingling,64.32586488695179,78.337578316535,28.704238919912832
2013,Dongsi,84.15420751633987,103.23672385620915,56.72811049836601
2013,Guanyuan,79.70383986928104,107.34059444191112,58.33252137118736
2013,Gucheng,79.86004915346805,111.06635718186783,60.81275517476789
2013,Huairou,67.65631808278867,97.30419389978213,34.965771793300654
2013,Nongzhanguan,81.73583877995642,102.04520697167756,58.91120914351852
2013,Shunyi,73.91782407407408,93.8548289265201,41.59474223856209
2013,Tiantan,80.95642701525054,106.69539760348584,52.92192843818083
2013,Wanliu,88.42701525054466,110.71459694989107,68.13377654547931
2013,Wanshouxigong,81.2941857298475,108.6381399782135,55.54675696486928
2014,Aotizhongxin,85.1373097412481,117.47081050228311,62.428407534246574
2014,Changping,76.75876712328768,105.42372526636225,45.91868721461187
2014,Dingling,71.77453196347032,89.77590753424657,27.35294520547945
2014,Dongsi,83.61634703196347,112.84116438356165,57.192077831103724
2014,Guanyuan,84.184149543379,112.47012557077626,63.61652397260274
2014,Gucheng,86.06439648251292,130.04977005870842,61.80328767123288
2014,Huairou,74.91772640791476,98.25584474885844,36.9984703196347
2014,Nongzhanguan,85.53011415525114,121.22453685583821,61.64073874755381
2014,Shunyi,81.68127853881279,108.84528538812785,46.740084982242514
2014,Tiantan,83.1967726679713,111.78817270058708,55.94229166666666
2014,Wanliu,85.20118721461188,125.75071917808219,73.7473401826484
2014,Wanshouxigong,85.64678394168865,120.9608485540335,61.081248369210705
2015,Aotizhongxin,77.17344748858447,107.3063698630137,59.92954908675799
2015,Changping,66.86845319634703,89.67331811263318,42.613156392694066
2015,Dingling,62.11939117199392,82.62988584474887,26.777842465753423
2015,Dongsi,80.84897831050229,106.4291609589041,50.04588470319635
2015,Guanyuan,77.402899543379,102.44389840182649,54.37442433137639
2015,Gucheng,78.3450399543379,111.66276255707763,49.373316210045665
2015,Huairou,67.92831621004567,87.28662100456621,28.30015410958904
2015,Nongzhanguan,79.29717656012177,102.8480194063927,57.347996575342464
2015,Shunyi,76.45735540334856,95.95159246575342,43.01100456621005
2015,Tiantan,77.27690639269406,99.23759132420092,51.77783983140147
2015,Wanliu,76.23026445966515,102.71066780821917,59.75434931506849
2015,Wanshouxigong,78.30054794520548,106.11922247590056,52.36415144596651
2016,Aotizhongxin,71.03487401335762,91.64065346083788,48.04354508196721
2016,Changping,60.05572632058288,84.75324453551913,45.34966985428051
2016,Dingling,59.442560570901016,78.93658925318762,25.290072859744992
2016,Dongsi,75.95941484517304,98.45321038251366,50.34642531876138
2016,Guanyuan,73.71226092896175,101.40255009107469,53.091473132969035
2016,Gucheng,73.77658242258651,107.42093579234972,49.41854508196721
2016,Huairou,59.18744307832423,80.3994193989071,27.249373861566486
2016,Nongzhanguan,72.65192395264117,93.91097449908925,52.30214025500911
2016,Shunyi,68.8917349726776,85.69052998458736,42.400500910746814
2016,Tiantan,70.78642987249545,93.88052140255009,49.6316029143898
2016,Wanliu,68.56813524590164,90.52214253187614,57.50034153005465
2016,Wanshouxigong,73.91242600182149,95.63484744990893,49.82781193078324
2017,Aotizhongxin,82.90713276836158,98.72669491525424,64.75282485875707
2017,Changping,73.59922316384181,88.81567796610169,50.55084745762712
2017,Dingling,65.84992937853107,77.27577683615819,34.152542372881356
2017,Dongsi,88.01483050847457,115.48764124293785,57.26659604519774
2017,Guanyuan,85.13651129943503,104.69597457627118,63.668785310734464
2017,Gucheng,86.74858757062147,111.97528248587571,60.7069209039548
2017,Huairou,69.21151129943503,85.31285310734464,38.7079802259887
2017,Nongzhanguan,87.23411016949153,107.2694209039548,57.789194915254235
2017,Shunyi,83.29555084745763,97.30861581920904,54.81709039548023
2017,Tiantan,85.71186440677967,111.92372881355932,62.74611581920904
2017,Wanliu,82.77542372881356,100.96327683615819,67.00388418079096
2017,Wanshouxigong,90.3697033898305,108.78248587570621,62.845338983050844
